,Spalte1,POLL_1,POLL_2,POLL_3,POLL_4,POLL_7,POLL_8,POLL_10,POLL_11,x,y,cluster
0,3011.0,0,0,3,2,0,2,1,3,0.8508037970636535,0.38072884305523486,0
2,2031.0,3,2,3,0,2,2,0,3,-0.5315500601845607,1.9068352189670923,0
3,4525.0,3,0,1,0,2,2,-1,0,1.649009305084965,0.26146026028152186,0
4,3926.0,1,1,2,0,2,2,2,1,0.12610897818311192,-0.8227461630841446,0
5,703.0,2,2,2,1,3,0,0,2,-0.09650986238855808,1.415507474086629,0
6,3131.0,3,2,2,-1,0,2,0,3,1.2511339530789622,1.5526057428942102,0
7,2006.0,2,1,1,2,2,1,0,1,0.6261201586063225,0.12417763637247616,0
8,641.0,0,0,0,2,2,1,2,2,1.1505003808545753,-1.3724269478055144,2
10,410.0,0,3,3,0,1,0,-1,3,1.0134690499183736,3.3670857982123974,0
11,1912.0,2,3,2,2,3,-1,0,2,-0.5692126613753203,1.654181745557001,0
12,1555.0,3,1,2,0,3,-1,1,3,0.5163309025740122,0.7820723991531412,0
13,4750.0,1,1,1,2,2,1,1,3,0.388962455216053,0.29020587264382375,0
15,2866.0,3,3,3,2,3,2,3,2,-3.10601705082182,-0.6759576133451128,1
16,5223.0,3,1,2,2,3,2,3,3,-1.8352021644230687,-1.1822010690481446,1
17,1723.0,2,0,2,2,-1,3,-1,2,1.7776747072920775,0.8538559251357399,0
18,550.0,3,1,2,3,2,2,2,2,-1.3269655703223566,-1.0507606166822558,1
19,886.0,2,1,2,2,3,3,1,1,-1.279890472343867,-0.37134650031017535,1
22,2101.0,2,0,2,-1,0,1,2,2,2.0650332962189646,-0.8883004268668785,2
23,1196.0,2,1,1,1,2,1,1,2,0.6227018793765711,-0.1128075888593131,0
25,3344.0,3,2,2,2,3,3,1,2,-1.9422828539335657,0.23818316722250985,1
26,2200.0,0,1,2,2,1,0,2,3,0.6644596060800126,-0.1490467254820811,0
27,289.0,1,0,1,2,1,3,-1,1,1.3961985809908546,0.5028344701140988,0
28,295.0,0,2,3,1,2,3,3,3,-1.6684969169417876,-0.24014220800842212,1
30,1595.0,1,1,1,2,2,0,2,0,0.5403708106879522,-1.6736256077619298,2
32,943.0,1,0,1,0,2,3,-1,2,1.5618638263629216,1.2813572403237816,0
33,2081.0,2,0,-1,0,-1,0,2,2,3.793750559772905,-1.8991207791780427,2
39,949.0,3,3,3,3,2,3,3,3,-3.3376563868159246,-0.5496186602963288,1
41,1917.0,3,2,3,2,3,3,3,2,-2.9907691679764747,-1.0456247505085017,1
42,3722.0,3,2,3,2,3,1,3,1,-2.277189970568986,-1.3603856677661552,1
44,4875.0,3,-1,-1,1,-1,-1,1,1,4.413427883194979,-2.0585854036479514,2
45,3785.0,1,2,2,2,0,2,2,3,-0.11784111396660102,-0.15228544547314016,0
47,4079.0,1,2,2,2,2,1,0,2,-0.11558116232215032,1.2538682224160689,0
49,179.0,3,3,3,3,3,3,3,-1,-3.6647696135276586,-2.0880429512614236,1
51,2813.0,2,1,2,2,2,2,1,2,-0.48492196682887234,-0.017783332868279454,0
53,5179.0,1,3,1,2,3,2,1,2,-1.3056547413573143,0.5797456308286103,1
55,4551.0,1,2,1,2,0,0,0,1,1.6886506695236034,0.4057692890424689,0
56,3033.0,2,1,2,1,2,2,1,1,-0.08304077864764882,-0.29778273313301146,0
58,3004.0,2,1,2,0,1,1,1,1,1.1138089150485695,-0.2242189659558476,0
60,4632.0,2,0,0,0,0,2,3,0,1.9765924729023294,-3.216629447776191,2
63,331.0,3,1,2,0,2,0,0,3,1.0030196780924931,1.407382308819748,0
68,3097.0,3,3,3,3,2,2,1,2,-2.3257598054295534,0.6454454618610795,1
72,2498.0,2,3,2,2,2,3,-1,3,-1.1306795459481693,2.546136898131214,0
